region,category,parameter,mode,powertrain,year,unit,value
India,Historical,EV sales share,Vans,EV,2016,percent,0.056000002
India,Historical,EV stock share,Vans,EV,2016,percent,0.0032
India,Historical,EV sales,Vans,BEV,2016,Vehicles,180
India,Historical,EV stock,Vans,BEV,2016,Vehicles,180
India,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,8.90E-06
India,Historical,"Oil displacement, million lge",Vans,EV,2016,"Oil displacement, million lge",0.50999999
India,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,7.10E-05
India,Historical,"Oil displacement, million lge",Vans,EV,2017,"Oil displacement, million lge",4.099999905
India,Historical,EV stock,Vans,BEV,2017,Vehicles,1400
India,Historical,EV sales,Vans,BEV,2017,Vehicles,1200
India,Historical,EV stock share,Vans,EV,2017,percent,0.024
India,Historical,EV sales share,Vans,EV,2017,percent,0.310000002
India,Historical,EV sales share,Vans,EV,2018,percent,0.289999992
India,Historical,EV stock share,Vans,EV,2018,percent,0.046
India,Historical,EV sales,Vans,BEV,2018,Vehicles,1500
India,Historical,EV stock,Vans,BEV,2018,Vehicles,2900
India,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.00014
India,Historical,"Oil displacement, million lge",Vans,EV,2018,"Oil displacement, million lge",7.900000095
India,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.00016
India,Historical,"Oil displacement, million lge",Vans,EV,2019,"Oil displacement, million lge",9.100000381
India,Historical,EV stock,Vans,BEV,2019,Vehicles,3700
India,Historical,EV sales,Vans,BEV,2019,Vehicles,790
India,Historical,EV stock share,Vans,EV,2019,percent,0.055
India,Historical,EV sales share,Vans,EV,2019,percent,0.159999996
India,Historical,EV sales share,Vans,EV,2020,percent,0.230000004
India,Historical,EV stock share,Vans,EV,2020,percent,0.066
India,Historical,EV sales,Vans,BEV,2020,Vehicles,1000
India,Historical,EV stock,Vans,BEV,2020,Vehicles,4700
India,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.00017
